sku,department_id
FURNI-TV-1860-B,DEP201902310751444239204
DESK-SWIVEL-352WH-B,DEP201902310751444239204
RCAR-POLICECAR-WH,DEP201709261130013244134
CCT-4B-6Z-TOUCH-BK,DEP201902310751052943410
SHEET-MICRO-PK-Q,DEP201902310752047117844
PLAY-WOOD-PRINCESS-WHITE,DEP201709261130013244134
GO-RO-SRD-06N,DEP201902310759448558018
LIGHT-B-G45-20-WW,DEP201902310759448558018
ATM-6-1-02M-BL,DEP201902310759448558018
FLOOR-SBL-03-WHITE,DEP201902310751444239204
PET-CAT-WT02-GR,DEP201902310759589113842
MATTRESS-BON-02-KS,DEP201902310751444239204
FIK-VT-FTR002,DEP201902310759589113842
FURNI-C-CD-NEW02-WD-B,DEP201902310751444239204
SWAG-C-BIKER-GREY,DEP201902310759589113842
SBED-C-EP05-DA-GY-B,DEP201902310751444239204
BFRAME-E-BSIDE-CHAR,DEP201902310751444239204
LUG-ABS-SPA-3SET-BK,DEP201902310754091356863
FURNI-G-053-OAK,DEP201902310751444239204
SHEET-MICRO-PK-K,DEP201902310752047117844
CAR-ROBAR-B112,DEP201902310752195804722
CAR-BK-CARRIER-EURO4,DEP201709261130013244134
HF-J-HANGER-117-WH,DEP201902310750063533502
FURNI-M-SHOE-95-WH-A,DEP201902310751444239204
PICNIC-2PPL-COOLER-BK,DEP201902310754091356863
MO-DIN-DTC03-GYX2,DEP201902310750063533502
SB-ENV-SIN-CAMO-1,DEP201902310759589113842
FUNKI-BC1-WH,DEP201902310750063533502
CAR-ROBAR-A120,DEP201902310752195804722
PET-CAT-HSCT003-BE,DEP201902310759589113842
PET-BED-FLEECE-L-BG,DEP201902310752195804722
SBED-C-EP05-GY-C,DEP201902310751444239204
DO-PUMP-40A-DC,DEP201709261130013244134
BFRAME-E-TRUN-KS-BK-C,DEP201902310754091356863
EB-E-SPIN-03-BK,DEP201902310759448558018
SWAG-C-BIKER-RED,DEP201902310759589113842
OCHAIR-H-W212-BK,DEP201902310752047117844
GT-D-240X120X200,DEP201902310754091356863
TV-190-GLOSS-WH-A,DEP201902310751444239204
TV-GLOSS-290-WH-A,DEP201902310751444239204
XM-TR-STARS-250-WW,DEP201902310759448558018
GT-D-60X60X90-BK,DEP201902310754091356863
FURNI-GLOSS-160TV-WH-A,DEP201902310751444239204
MUM-PIL-US-PURP,DEP201902310751052943410
SJ-B-1502-BM-GD,DEP201902310752047117844
MO-DIN-01-LI-GYX4,DEP201902310750063533502
CT-IN-213-1,DEP201902310751052943410
PET-CAT-HSCT260-BU,DEP201902310759589113842
OCHAIR-G-R61PFR-ABK,DEP201902310752047117844
SHED-GAB-8X8-C,DEP201902310753504667490
SAC-INV-M-70-WH-B,DEP201902310751052943410
SAC-INV-M-70-WH-A,DEP201902310751052943410
XMAS-INF-SAN-REIN-7FT,DEP201902310759448558018
LUG-ABS-BOS-3SET-BU,DEP201902310754091356863
BA-TW-8890-BKX2,DEP201902310750063533502
FURNI-SHOE-21-BK-B,DEP201902310751444239204
FURNI-M-TV-220-WH-B,DEP201902310751444239204
BED-GAS-LISA-K-GY-B,DEP201902310754091356863
BED-GAS-NINO-D-GY-A,DEP201902310754091356863
BS-86101-WB-FC2,DEP201902310759448558018
RCAR-INTELLER-WH,DEP201709261130013244134
FURNI-G-MIR-CAB-WH,DEP201902310751444239204
TOPPER-PT-D,DEP201902310752047117844
WBC-ADT-NAVY,DEP201902310751052943410
SHOWER-A2-TAP-BK,DEP201902310759589113842
SHEET-MICRO-GN-K,DEP201902310752047117844
XM-TR-ORI-8F-GR,DEP201902310759448558018
MOWER-LI36V-RDBK,DEP201709261130013244134
HR-WA-BNS-20M-MTL,DEP201902310754091356863
HM-CHAIR-DOU-GREY,DEP201902310754091356863
ANNEXE-MAT-4M-GREY-L,DEP201902310759589113842
PET-CAT-HSCT076-180-BE,DEP201902310759589113842
FF-LOUNGE-WA-BKX2,DEP201709261130013244134
PUMP-ST5-25-OG,DEP201709261130013244134
SH-CL-366X200-100-BK,DEP201902310753504667490
TAP-A-82H33-BK,DEP201902310750063533502
FF-BONDI-BK-C,DEP201709261130013244134
ODF-CHAIR-TEA-XL-BK-2X,DEP201709261130013244134
TS-8011-WH-B,DEP201902310750063533502
PET-GT-DH018-BK-A,DEP201902310759589113842
HM-CHAIR-PILLOW-GREY,DEP201902310754091356863
BF-C-122L-SR,DEP201902310752047117844
RCAR-MACAN-BK,DEP201709261130013244134
BED-GAS-ISSA-D-GY-D,DEP201902310754091356863
SHEET-MICRO-BU-Q,DEP201902310752047117844
FA-CHAIR-KID02-GY,DEP201902310750063533502
CCTV-IP-CLA-WH-FC2,DEP201902310754091356863
AF-K-E901-BK,DEP201902310751052943410
HM-CHAIR-SQA-GREY,DEP201902310754091356863
DRESS-TAB-LAD-SHELF-WH,DEP201902310751444239204
GUITAR-41-ELEC-BK,DEP201902310759589113842
FURNI-DRESSTABLE-B,DEP201902310751444239204
SWAG-WING-D-DARKBLUE,DEP201902310759589113842
SBED-C-EP05-GY-A,DEP201902310751444239204
SAC-INV-M-50-WH-B,DEP201902310751052943410
OSB-S490-BK,DEP201709261130013244134
BV-MC-6006-WH-B,DEP201902310750063533502
PET-BEDCUBE-5463-L-BR,DEP201902310752195804722
DRESS-B-8063-WH,DEP201902310751444239204
BV-MC-6005-WH-B,DEP201902310750063533502
SBED-C-SET100-GY-B,DEP201902310751444239204
POT-1326-MS-DG,DEP201902310759589113842
POT-B-30L-WH,DEP201902310752047117844
CFW-600-BK,DEP201902310751052943410
SWAG-WING-S-GREY,DEP201902310759589113842
BED-GAS-ROCA-D-GY-A,DEP201902310754091356863
MB-012,DEP201902310752047117844
BED-GAS-TIYO-D-WH-B,DEP201902310754091356863
ODF-SUNBED-180OT-BK-B,DEP201902310752195804722
BED-GAS-ISSA-D-CA-B,DEP201902310754091356863
FURNI-G-COF-LIFT-BK,DEP201902310751444239204
BED-GAS-ISSA-Q-GY-B,DEP201902310754091356863
HM-CHAIR-STAND-U,DEP201902310754091356863
UPHO-C-WING02-GY,DEP201902310750063533502
SPRAYER-BP-16L-BU,DEP201709261130013244134
HM-CHAIR-PILLOW-CREAM,DEP201902310754091356863
GAZEBO-HEX-222-NA,DEP201902310753504667490
SAIL-H-5X5X5-C-GR,DEP201902310753504667490
MO-DIN-02-LI-GYX2,DEP201902310750063533502
BENT-C-FS-0565-GY,DEP201902310750063533502
FURNI-M-OTM01-OAK,DEP201902310751444239204
RCAR-MBIKE-POLICE-WH,DEP201709261130013244134
MATTRESS-MAX-VC-D,DEP201902310751444239204
BW-FLOAT-41108-PK,DEP201902310753504667490
OTM-ARM-LI-GY,DEP201902310751444239204
LIGHT-C3-S14-EX10,DEP201902310759448558018
AR-GRASS-40-205M-4C,DEP201902310753504667490
MBED-B-N04S-WH,DEP201902310754091356863
BED-GAS-ISSA-D-CA-C,DEP201902310754091356863
DL-1290-NDCO-FLWH-20,DEP201902310754091356863
GAZEBO-C-3X45-DX-NAVY,DEP201902310753504667490
TDS-FS1047-6PC-BK-A,DEP201709261130013244134
FPIT-RUST-SHORT,DEP201902310754091356863
UPHO-C-8069-GY,DEP201902310750063533502
UPHO-C-AVAN-KD-CH-A,DEP201902310750063533502
FOUNT-POND-B-50-500,DEP201902310754091356863
ODF-CHAIR-630-BK-2X,DEP201709261130013244134
PCAW-75CC-OG,DEP201902310753504667490
SBED-D-LEA744-BK-B,DEP201902310751444239204
BED-GAS-ROCA-KS-GY-A,DEP201902310754091356863
BED-GAS-TIYO-K-GY-A,DEP201902310754091356863
BED-GAS-NINO-KS-BK-A,DEP201902310754091356863
BN-B-10X20-BK,DEP201902310753504667490
BF-B-85L-2D-SR,DEP201902310752047117844
SHEET-MICRO-CHAR-K,DEP201902310752047117844
BED-GAS-ISSA-Q-GY-A,DEP201902310754091356863
AQ-UVF-HW2000L,DEP201709261130013244134
ATM-8-1-02M-PK,DEP201902310759448558018
MATTRESS-19-KS,DEP201902310751444239204
UPHO-C-8069-PK,DEP201902310750063533502
FURNI-NEW-LOWBOY-6-A,DEP201902310751444239204
POT-17-MS-DG,DEP201902310759589113842
POT-1300-MS-GREY,DEP201902310759589113842
ODF-CHAIR-DINING-2X-BK,DEP201709261130013244134
RS-MARINE-SPEAKER-666-6,DEP201902310752195804722
PET-BEDCUBE-SO-XL-BK,DEP201902310752195804722
CAMP-T-MDF-240,DEP201902310759589113842
SHEET-CT-STRIP-Q-BK,DEP201902310752047117844
PFN-C-ALU-M,DEP201902310759589113842
WD-B-0915X100-BK,DEP201902310753504667490
RCAR-BUGAT-BKOG,DEP201709261130013244134
FURNI-E-DRESS-WH-A,DEP201902310751444239204
TP-WT6663A,DEP201902310759589113842
SWAG-WING-S-DARKBLUE,DEP201902310759589113842
KA-B-SEAT-600,DEP201902310759448558018
ATB-GT-62-40,DEP201902310759448558018
HT-TS-RDBK,DEP201902310753504667490
GO-SGO-DSR1800-AC,DEP201902310759448558018
GAZEBO-T-PANEL-SET-3X3,DEP201902310753504667490
FOLD-D-KING-BK,DEP201902310750063533502
CURTAIN-D213X140-ECRU,DEP201902310751052943410
EAC-E-050-RC-BL-WH,DEP201902310752047117844
PET-GT-DH018-BK-B,DEP201902310759589113842
UPHO-C-3018-BRX2,DEP201902310750063533502
WC-48EC-8B-BK,DEP201902310752047117844
BF-B-127L-WH,DEP201902310752047117844
FURNI-G-COF60-WH-WD,DEP201902310751444239204
BED-GAS-WARE-D-CA-A,DEP201902310754091356863
CAMP-TENT-CA6-NA,DEP201902310759589113842
XM-TR-FULL-8FT-SNOW,DEP201902310759448558018
FURNI-WALL-SHELF-WH,DEP201902310751444239204
DI-AUG300-BLD,DEP201902310753504667490
DI-AUG300-1M-BLD,DEP201902310753504667490
QUILT-GOOSE-800-D,DEP201902310751052943410
QUILT-GOOSE-800-S,DEP201902310751052943410
RD-4019-6P-WH-B,DEP201902310750063533502
SBED-E-LIN3138-GY,DEP201902310751444239204
BA-TW-5046BMESH-MLX2,DEP201902310750063533502
UKULE-D-26-EQ-NAT,DEP201902310759589113842
UPHO-C-AVAN-KD-CH-B,DEP201902310750063533502
DI-AUG-BLD-KIT,DEP201902310753504667490
WBC-KID-GREY,DEP201902310751052943410
QUILT-GOOSE-800-Q,DEP201902310751052943410
KID-CHAIR-TAB-BU,DEP201902310750063533502
FURNI-G-055-BS3D-WH,DEP201902310751444239204
BFRAME-E-NEO-D-CHAR-A,DEP201902310754091356863
CAMP-C-50-NA-FC2-1,DEP201902310759589113842
ATM-6-1-02M-MG,DEP201902310759448558018
DI-75CC-OG,DEP201902310753504667490
BF-C-89L-2D-WH,DEP201902310752047117844
SBED-E-LIN3138-LI-GY,DEP201902310751444239204
FF-BEACH-OTM-WH,DEP201709261130013244134
XMAS-INF-B-SAN-DAN-8FT,DEP201902310759448558018
AQ-SPH-6500,DEP201709261130013244134
SHEET-MICRO-APP-K,DEP201902310752047117844
GL-NM-3T-1200,DEP201902310754091356863
BBQ-ELC-STAND,DEP201902310754091356863
PFN-D-SPARK-60,DEP201902310759589113842
SP-D-FB-120-BK,DEP201902310752047117844
WBLANKET-CT-7KG-BK,DEP201902310751052943410
GKRT-F1C-RD,DEP201709261130013244134
SBED-E-LIN108-GY-A,DEP201902310751444239204
PUMP-TWIN-1INCH-RDBK,DEP201709261130013244134
SJ-B-1502-BM-RD,DEP201902310752047117844
GUITAR-D-ACC-DX-W,DEP201902310759589113842
FURNI-GLOSS-BF-WH-B,DEP201902310751444239204
WBED-B-03KS-107-B,DEP201902310754091356863
BA-TW-V17-JAD-H66-GYX2,DEP201902310750063533502
DI-SF-RDBK,DEP201902310753504667490
FURNI-G-SHOE-4D3R-WD-WH-A,DEP201902310751444239204
AQ-UVF-HW1400L,DEP201709261130013244134
LAMP-FLOOR-05-NAT-A,DEP201902310751052943410
XM-TR-LED-6F-GR-DX,DEP201902310759448558018
DIFF-802T-BK,DEP201902310752047117844
PLAY-WOOD-BEAR-CFL,DEP201709261130013244134
OCHAIR-G-9285-FT-OR,DEP201902310752047117844
RHP-1800-BK,DEP201902310751052943410
SBED-D-LEA723-BK,DEP201902310751444239204
FURNI-L-SHOE-MIR4D-WH-A,DEP201902310751444239204
GUITAR-D-41-EQ-BK,DEP201902310759589113842
FURNI-O-DESK-120-WH-B,DEP201902310751444239204
FURNI-O-SHOE-8836-BK,DEP201902310751444239204
FIT-C-BENCH-FLAT,DEP201902310759448558018
GUITAR-D-38-NAT,DEP201902310759589113842
GUITAR-D-38-NAT-LF,DEP201902310759589113842
