"combined_sku","department_id"
"CCTV-ALL-4C-4D-BK-T-VAR","DEP20170811134628184"
"HASD-204-BKDF-WADB-160-VAR","DEP20170811134628184"
"DIY-B-MESH-28-WH-VAR","DEP20170811134628184"
"FBA-SB-58L-S06-A","DEP20170811134628184"
"FBA-STACK-SHOE-SR-02","DEP20170811134628184"
"HASD-204-BKDF-BKDB-150","DEP20170811134628184"
"VAC-CD-AH-PP-AL-VAR","DEP20170811134628184"
"HASD-204-BKDF-WODB-150","DEP20170811134628184"
"AF-K-E715-BK-VAR","DEP20170811134628184"
"AF-K-E716-BK-VAR","DEP20170811134628184"
"SBED-LIN-126-AB","DEP20180822000000110"
"HLH-3200-ALX2","DEP20180822000000110"
"DIN-TAB-DSW-RED","DEP20180822000000110"
"DIN-TAB-DSW-YELLOW","DEP20180822000000110"
"HASD-204-BKDF-WHDB-160-VAR","DEP20170811134628184"
"DIFF-158-LW-VAR","DEP20170811134628184"
"HASD-114E-WHDF-WHDB-100-VAR","DEP20170811134628184"
"BABY-GC-BE-PILLOW","DEP20180822000000110"
"BABY-GC-TF04T-WB-PILLOW-AW","DEP20180822000000110"
"BABY-GC-TF05T-NAT-PILLOW-GR","DEP20180822000000110"
"HASD-114E-BKDF-WADB-100-VAR","DEP20170811134628184"
"MATTRESS-0909-QUEEN-VAR","DEP20170811134628184"
"CCTV-IP-BLACK-FC2-VAR2","DEP20170811134628184"
"FURNI-G-SHOE-4D3R-WH-BK-AB-VAR","DEP20170811134628184"
"EB-C-ELLI-02-5IN-BK-VAR","DEP20170811134628184"
"DIY-SR-3T-WM-SI-VAR","DEP20170811134628184"
"FD-028-10-PP-01","DEP20180822000000110"
"HASD-204-BKDF-WHDB-150","DEP20170811134628184"
"HLH-1800-ALX2-VAR","DEP20180822000000110"
"MOC-09M-AB-VAR","DEP20180822000000110"
"XM-TR-ORI-6F-GR-VAR","DEP20180822000000110"
"HASD-204-BKDF-WODB-150-VAR","DEP20170811134628184"
"MATTRESS-MAX-VC-K-VAR","DEP20180822000000110"
"DIFF-306W-LW-VAR","DEP20180822000000110"
"LA-DESK-FD60-DW-VAR","DEP20170811134628184"
"CD-SHELF-BL-AB-VAR","DEP20180822000000110"
"HASD-114E-WHDF-WADB-100-VAR","DEP20170811134628184"
