sku,asin,type,product_sku,product_asin
IM-ZB-PARENT,B07S5L17TK,,IM-ZB12S-SS,B077YFT82Q
IM-ZB-PARENT,B07S5L17TK,,IM-ZB-18BF-SS,B07KXKRCG8
IM-ZB-PARENT,B07S5L17TK,,IM-ZB-18F-SS,B07KXL518B
INVERT-PARENT1,B07SMD5TYW,,INVERT-M-3000W-BK,B07DTG1G52
INVERT-PARENT1,B07SMD5TYW,,INVERT-P-3300W-SL,B07BLQZNNL
INVERT-PARENT2,B07SMFSGH1,,INVERT-M-2500W-BK,B07DTG31LH
INVERT-PARENT2,B07SMFSGH1,,INVERT-P-1000W-SL,B07BLTBLYF
INVERT-PARENT3,B07SMFVDT8,,INVERT-M-2000W-BK,B07DTD83FH
INVERT-PARENT3,B07SMFVDT8,,INVERT-P-2000W-SL,B07BLQ5J8C
INVERT-PARENT4,B07THTH61G,,INVERT-P-1500W-SL,B07BLS5J5K
INVERT-PARENT4,B07THTH61G,,INVERT-P-3000W-SL,B07BLP47BW
INVERT-PARENT4,B07THTH61G,,INVERT-P-600W-SL,B07BLP2664
JE-CA-110-PARENT,B0789FG25T,,JE-CA-110-WAL,B0776Q7QKC
JE-CA-110-PARENT,B0789FG25T,,JE-CA-110-WH,B0776PMGRZ
JE-CA-LED-PARENT,B0789NHFVT,,JE-CA-INNER-WH,B0776RBFX9
JE-CA-LED-PARENT,B0789NHFVT,,JE-CA-LED-CAB-WH,B0776NJ8QW
JE-CA-LED-PARENT,B0789NHFVT,,JE-CA-TOUCH-WH,B0776RL6T4
KA-TRO-100-PARENT,B07RQQZBF1,,KA-TRO-100,B0777N243L
KA-TRO-100-PARENT,B07RQQZBF1,,KA-TRO-100-NEW,B07NJLGMRP
KA-TRO-100-PARENT,B07RQQZBF1,,KA-TRO-400-NEW,B07NJLFFYY
KA-TRO-400-PARENT,B07RQRTVWK,,KA-TRO-400,B0777K18ZW
KCHAIR-501-PARENT,B0788LCC61,,KCHAIR-501-BK,B076P43D2M
KCHAIR-501-PARENT,B0788LCC61,,KCHAIR-501-SR,B076P2NVXZ
KID-CHAIR-A5-PARENT,B078JSHLNJ,,KID-CHAIR-A5-BK,B077QC4BQC
KID-CHAIR-A5-PARENT,B078JSHLNJ,,KID-CHAIR-A5-GY,B077Q4CNMM
KID-CHAIR-A5-PARENT,B078JSHLNJ,,KID-CHAIR-A5-PK,B0784FDS6R
KID-CHAIR-S1-PARENT,B078JJ67Z5,,KID-CHAIR-S1-BK,B0778T2NQ9
KID-CHAIR-S1-PARENT,B078JJ67Z5,,KID-CHAIR-S1-PK,B0778H59NS
KID-DESK-70A-PARENT,B07P2CFBGL,,KID-DESK-70A-BU,B07P2CTYRX
KID-DESK-70A-PARENT,B07P2CFBGL,,KID-DESK-70A-GY,B07P2CGV3Q
KID-DESK-70A-PARENT,B07P2CFBGL,,KID-DESK-70A-PK,B07P3GRTG5
KID-RECLINER-PARENT,B078JC7NZQ,,KID-RECLINER-GY,B0776PDBYX
KID-RECLINER-PARENT,B078JC7NZQ,,KID-RECLINER-PK,B0778DHJWQ
KID-RECLINER-PARENT,B078JC7NZQ,,KID-RECLINER-PUR,B0778HQVXY
KPF-TABLE-CHAIR-SET-PARENT,B07QK6J3WD,,KPF-CHAIR-4PC-BRGY,B07BFD3DML
KPF-TABLE-CHAIR-SET-PARENT,B07QK6J3WD,,KPF-TABLE-60-BU,B07BFBZ7CC
KPF-TBCH-PARENT,B07DC1NDRH,,KPF-TABLE-60-RD,B07BFDR4DV
KPF-TBCH-PARENT,B07DC1NDRH,,KPF-TABLE-60-YE,B07BFBWTPG
LA-DESK-60-PARENT,B079TMPLSL,,LA-DESK-60-BK,B07DCLVPHC
LA-DESK-60-PARENT,B079TMPLSL,,LA-DESK-60-DW,B079TN5ZZC
LA-DESK-60-PARENT,B079TMPLSL,,LA-DESK-60-LW,B079TMPQK3
